ダウンロード実行日,2026年08月08日現在,件数,6369件
ファンドコード,証券コード,ファンド名,ファンド名（ヨミ）,特定有価証券区分名,特定期1,特定期2,ＥＤＩＮＥＴコード,発行者名
"G01633","","Ｏｎｅ日本株式オープン","ワンニホンカブシキオープン","内国投資信託受益証券","3月15日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G01648","","インデックスファンド２２５","インデックスファンドニーニーゴー","内国投資信託受益証券","6月16日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01650","","インデックスファンドＴＳＰ","インデックスファンドティーエスピー","内国投資信託受益証券","2月12日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01654","","キャピタルオープン","キャピタルオープン","内国投資信託受益証券","1月10日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01668","","日興アクティブバリュー","ニッコウアクティブバリュー","内国投資信託受益証券","10月25日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01693","","インデックスポートフォリオ","インデックスポートフォリオ","内国投資信託受益証券","11月7日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01698","","財形株投（一般財形３０）（一般財形５０）（年金・住宅財形３０）","ザイケイカブトウ　イッパンザイケイサンジュウ　イッパンザイケイゴジュウ　ネンキン　ジュウタクザイケイサンジュウ","内国投資信託受益証券","2月1日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01704","","低位株オープン","テイイカブオープン","内国投資信託受益証券","5月27日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01705","","日本新興株オープン","ニホンシンコウカブオープン","内国投資信託受益証券","12月18日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01708","","日興ジャパンオープン","ニッコウジャパンオープン","内国投資信託受益証券","8月20日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01713","","日本トレンド・セレクトハイパー・ウェイブリバース・トレンド・オープン日本トレンド・マネーポートフォリオ","ニホントレンドセレクトハイパーウェイブリバーストレンドオープンニホントレンドマネーポートフォリオ","内国投資信託受益証券","1月11日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01716","","利益還元成長株オープン","リエキカンゲンセイチョウカブオープン","内国投資信託受益証券","6月25日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01722","","公社債投信１２月号","コウシャサイトウシンジュウニガツゴウ","内国投資信託受益証券","12月19日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01725","","日興ＭＲＦ（マネー・リザーブ・ファンド）","ニッコウエムアールエフマネーリザーブファンド","内国投資信託受益証券","5月31日","11月30日","E12430","アモーヴァ・アセットマネジメント株式会社"
